tournament results

{'sizes': [2, 4, 6, 8, 10], 'best_fitness_avg': [2.225, -17.825, -18.875, -20.175, -20.475]}

|    |   sizes |   best_fitness_avg |
|----|---------|--------------------|
|  4 |      10 |            -20.475 |
|  3 |       8 |            -20.175 |
|  2 |       6 |            -18.875 |
|  1 |       4 |            -17.825 |
|  0 |       2 |              2.225 |


tournament results part 2

{'sizes': [7, 8, 9, 10, 11], 'best_fitness_avg': [-19.925, -20.325, -20.675, -20.65, -20.675]}

|    |   sizes |   best_fitness_avg |
|----|---------|--------------------|
|  2 |       9 |            -20.675 |
|  4 |      11 |            -20.675 |
|  3 |      10 |            -20.65  |
|  1 |       8 |            -20.325 |
|  0 |       7 |            -19.925 |


double tournament switch testing results

{'t_size': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 'deaths_t_size': [2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6, 2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6, 2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6], 'queens_t_size': [2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6, 2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6, 2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6], 'switch': [True, False, True, True, False, True, False, True, False, False, True, False, True, False, True, True, False, True, False, True, False, False, True, False, True, False, True, True, False, True, False, True, False, False, True, False], 'best_fitness_avg': [908.3333333333334, 81.58333333333333, 906.6666666666666, 908.3333333333334, 523.25, 888.3333333333334, 905.0, 844.1666666666666, 681.8333333333334, 892.5, 633.5833333333334, 923.3333333333334, 906.6666666666666, -14.416666666666666, 892.5, 899.1666666666666, -7.5, 903.3333333333334, 36.833333333333336, 916.6666666666666, -3.1666666666666665, 163.75, 894.1666666666666, 532.8333333333334, 918.3333333333334, -18.916666666666668, 895.0, 909.1666666666666, -17.416666666666668, 916.6666666666666, 4.833333333333333, 904.1666666666666, -17.333333333333332, 14.25, 912.5, 31.25]}

|    |   t_size |   deaths_t_size |   queens_t_size | switch   |   best_fitness_avg |
| 42 |        6 |              10 |               6 | False    |         37.0833    |
|  0 |        2 |               2 |               2 | False    |         37.4167    |
| 17 |        4 |               4 |               4 | False    |         49.5       |
| 39 |        6 |               8 |               8 | False    |         85.1667    |
| 19 |        4 |               6 |               4 | False    |        118.75      |
| 43 |        6 |              10 |               8 | False    |        136.417     |
| 22 |        4 |               8 |               4 | False    |        274.167     |
| 44 |        6 |              10 |              10 | False    |        369.083     |
| 26 |        4 |              10 |               4 | False    |        381.25      |
|  1 |        2 |               4 |               2 | False    |        506.167     |
| 20 |        4 |               6 |               6 | False    |        544.833     |
|  3 |        2 |               6 |               2 | False    |        689.167     |
| 23 |        4 |               8 |               6 | False    |        702.5       |
| 27 |        4 |              10 |               6 | False    |        705.833     |
|  6 |        2 |               8 |               2 | False    |        718.5       |
| 10 |        2 |              10 |               2 | False    |        770         |
| 24 |        4 |               8 |               8 | False    |        772.75      |
| 28 |        4 |              10 |               8 | False    |        831.667     |
| 29 |        4 |              10 |              10 | False    |        879.167     |
|  4 |        2 |               6 |               4 | False    |        896.667     |
|  2 |        2 |               4 |               4 | False    |        903.333     |
|  9 |        2 |               8 |               8 | False    |        905         |
| 11 |        2 |              10 |               4 | False    |        907.5       |
|  8 |        2 |               8 |               6 | False    |        912.5       |
| 14 |        2 |              10 |              10 | False    |        912.5       |
|  7 |        2 |               8 |               4 | False    |        913.333     |
|  5 |        2 |               6 |               6 | False    |        915         |
| 12 |        2 |              10 |               6 | False    |        918.333     |
| 13 |        2 |              10 |               8 | False    |        920.833     |


